# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1866.0000 M473 500000 4 1393.0000 t66 t56 216 N t66->p31->p19->p38->t56
1866.1000 M437 500000 4 1429.1000 t62 t56 216 N t62->t58->t76->p38->t56
1869.7000 M1595 500000 1 274.7000 p13 t62 235 N p13->t62
1877.9000 M225 500000 5 1652.9000 p17 t53 212 N p17->p39->p29->t79->t44->t53
1878.0000 M856 500000 1 1022.0000 t44 t53 222 N t44->t53
1878.2000 M522 500000 2 1356.2000 t64 t53 217 N t64->t44->t53
1878.3000 M1480 500000 1 398.3000 t53 t44 233 N t53->t44
1898.0000 M934 500000 4 964.0000 t48 p39 223 N t48->t57->t54->p28->p39
1898.2000 M1097 500000 3 801.2000 t57 p39 226 N t57->t54->p28->p39
1898.3000 M945 500000 2 953.3000 p18 p39 224 N p18->p28->p39
1899.5000 M724 500000 4 1175.5000 t72 p8 220 N t72->p33->p38->p19->p8
1899.6000 M1140 500000 3 759.6000 t61 p8 227 N t61->p23->p19->p8
1899.8000 M1241 500000 2 658.8000 p38 p8 229 N p38->p19->p8
1902.1000 M408 500000 2 1494.1000 t54 p37 215 N t54->p8->p37
1902.2000 M1344 500000 3 558.2000 p28 p37 230 N p28->t54->p8->p37
1910.1000 M1910 500000 1 0.1000 t63 t69 239 N t63->t69
1926.1000 M314 500000 5 1612.1000 p26 t52 213 N p26->p4->p19->p38->p37->t52
1926.2000 M731 500000 6 1195.2000 p36 t52 220 N p36->t70->t61->p38->p19->p37->t52
1926.4000 M4 500000 1 1922.4000 t52 p37 207 N t52->p37
1926.5000 M850 500000 4 1076.5000 t56 t52 222 N t56->p33->p38->p37->t52
1926.6000 M405 500000 7 1521.6000 t69 t52 214 N t69->t63->t73->t77->t62->p8->p37->t52
